Company,Mean_Absolute_Error_Train,Mean_Absolute_Error_Val,Mean_Absolute_Error_Test,Mean_Squared_Error_Train,Mean_Squared_Error_Val,Mean_Squared_Error_Test,R2_Score_Train,R2_Score_Val,R2_Score_Test
Amazon,0.008394902,0.007294733,0.028892674,7.265286e-05,0.00010256496,0.0011986406,0.9821665,0.9792145,0.9438412
Apple,0.008801474,0.006973601,0.01827667,7.802553e-05,5.5160977e-05,0.0006275522,0.91419697,0.9761457,0.98917943
Google,0.007533413,0.0076057664,0.028572522,6.372192e-05,0.00011348986,0.0012393272,0.994125,0.98388183,0.91832864
Meta,0.007951446,0.03059918,0.015897434,0.00010912582,0.0013182813,0.00057472574,0.9966649,0.8701482,0.9815857
Netflix,0.008531407,0.011461943,0.019238776,8.05021e-05,0.00024888673,0.0007089564,0.99413943,0.98031616,0.98500776
