Company,Mean_Absolute_Error_Train,Mean_Absolute_Error_Test,Mean_Squared_Error_Train,Mean_Squared_Error_Test,R2_Score_Train,R2_Score_Test
Amazon,0.00043547008,0.29343835,4.3228764e-07,0.12123391,0.9999088,-2.4512186
Apple,0.00016581024,0.2648545,1.06123e-07,0.14394057,0.9998928,-0.94550234
Google,0.0006140889,0.2578377,7.387299e-07,0.102264486,0.9999355,-1.7661757
Meta,0.0045204223,0.066190675,4.3625565e-05,0.009996604,0.9987539,0.8202474
Netflix,0.00041673085,0.09193329,4.8146524e-07,0.020096285,0.999968,0.3766082
